"Idp","Vel:0","Vel:1","Vel:2","Rhop","Press","Vor:0","Vor:1","Vor:2","Type","Points:0","Points:1","Points:2"
418,0,0,0,1000,0,0,0,0,0,2.64,0,0.04
419,0,0,0,1000,0,0,0,0,0,2.64,0,0.08
420,0,0,0,1000,0,0,0,0,0,2.68,0,0
421,0,0,0,1000,0,0,0,0,0,2.68,0,0.04
422,0,0,0,1000,0,0,0,0,0,2.68,0,0.08
423,0,0,0,1000,0,0,0,0,0,2.72,0,0
424,0,0,0,1000,0,0,0,0,0,2.72,0,0.04
425,0,0,0,1000,0,0,0,0,0,2.72,0,0.08
426,0,0,0,1000,0,0,0,0,0,2.76,0,0
427,0,0,0,1000,0,0,0,0,0,2.76,0,0.04
428,0,0,0,1000,0,0,0,0,0,2.76,0,0.08
429,0,0,0,1000,0,0,0,0,0,2.8,0,0
430,0,0,0,1000,0,0,0,0,0,2.8,0,0.04
431,0,0,0,1000,0,0,0,0,0,2.8,0,0.08
432,0,0,0,1000,0,0,0,0,0,2.84,0,0
433,0,0,0,1000,0,0,0,0,0,2.84,0,0.04
434,0,0,0,1000,0,0,0,0,0,2.84,0,0.08
435,0,0,0,1000,0,0,0,0,0,2.88,0,0
436,0,0,0,1000,0,0,0,0,0,2.88,0,0.04
437,0,0,0,1000,0,0,0,0,0,2.88,0,0.08
438,0,0,0,1000,0,0,0,0,0,2.92,0,0
439,0,0,0,1000,0,0,0,0,0,2.92,0,0.04
440,0,0,0,1000,0,0,0,0,0,2.92,0,0.08
441,0,0,0,1000,0,0,0,0,0,2.96,0,0
442,0,0,0,1000,0,0,0,0,0,2.96,0,0.04
443,0,0,0,1000,0,0,0,0,0,2.96,0,0.08
444,0,0,0,1000,0,0,0,0,0,3,0,0
445,0,0,0,1000,0,0,0,0,0,3,0,0.04
446,0,0,0,1000,0,0,0,0,0,3,0,0.08
