"Idp","Vel:0","Vel:1","Vel:2","Rhop","Mass","Press","Vol","Ace:0","Ace:1","Ace:2","Vor:0","Vor:1","Vor:2","Type","Mk","Points:0","Points:1","Points:2"
7764,0,0,0,1002.5,0.4,18835,0.00039902,-0.002372,0,-57.979,0,0,0,3,1,1.34,0,0.08
7765,0,0,0,1002.4,0.4,18639,0.00039903,-0.0023474,0,-0.17246,0,0,0,3,1,1.34,0,0.1
7861,0,0,0,1002.5,0.4,19031,0.00039901,-1.1369e-13,0,-416.37,0,0,0,3,1,1.36,0,0.06
7862,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,1.36,0,0.08
7863,0,0,0,1002.4,0.4,18639,0.00039903,1.1369e-13,0,-0.17245,0,0,0,3,1,1.36,0,0.1
7959,0,0,0,1002.5,0.4,19031,0.00039901,-1.1369e-13,0,-416.37,0,0,0,3,1,1.38,0,0.06
7960,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,1.38,0,0.08
7961,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17245,0,0,0,3,1,1.38,0,0.1
8057,0,0,0,1002.5,0.4,19031,0.00039901,0.0021033,0,-416.37,0,0,0,3,1,1.4,0,0.06
8058,0,0,0,1002.5,0.4,18835,0.00039902,0.002372,0,-57.979,0,0,0,3,1,1.4,0,0.08
8059,0,0,0,1002.4,0.4,18639,0.00039903,0.0023474,0,-0.17246,0,0,0,3,1,1.4,0,0.1
8155,0,0,0,1002.5,0.4,19031,0.00039901,0.0043349,0,-416.37,0,0,0,3,1,1.42,0,0.06
8156,0,0,0,1002.5,0.4,18835,0.00039902,0.0048256,0,-57.979,0,0,0,3,1,1.42,0,0.08
8157,0,0,0,1002.4,0.4,18639,0.00039903,0.0048211,0,-0.17248,0,0,0,3,1,1.42,0,0.1
8253,0,0,0,1002.5,0.4,19031,0.00039901,-0.0043349,0,-416.37,0,0,0,3,1,1.44,0,0.06
8254,0,0,0,1002.5,0.4,18835,0.00039902,-0.0048256,0,-57.979,0,0,0,3,1,1.44,0,0.08
8255,0,0,0,1002.4,0.4,18639,0.00039903,-0.0048211,0,-0.17248,0,0,0,3,1,1.44,0,0.1
8351,0,0,0,1002.5,0.4,19031,0.00039901,-0.0021033,0,-416.37,0,0,0,3,1,1.46,0,0.06
8352,0,0,0,1002.5,0.4,18835,0.00039902,-0.002372,0,-57.979,0,0,0,3,1,1.46,0,0.08
8353,0,0,0,1002.4,0.4,18639,0.00039903,-0.0023474,0,-0.17246,0,0,0,3,1,1.46,0,0.1
8449,0,0,0,1002.5,0.4,19031,0.00039901,-1.1369e-13,0,-416.37,0,0,0,3,1,1.48,0,0.06
8450,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,1.48,0,0.08
8451,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17245,0,0,0,3,1,1.48,0,0.1
8547,0,0,0,1002.5,0.4,19031,0.00039901,-1.1369e-13,0,-416.37,0,0,0,3,1,1.5,0,0.06
8548,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,1.5,0,0.08
8549,0,0,0,1002.4,0.4,18639,0.00039903,0,0,-0.17245,0,0,0,3,1,1.5,0,0.1
8645,0,0,0,1002.5,0.4,19031,0.00039901,-1.1369e-13,0,-416.37,0,0,0,3,1,1.52,0,0.06
8646,0,0,0,1002.5,0.4,18835,0.00039902,0,0,-57.979,0,0,0,3,1,1.52,0,0.08
